row_position,date,spot_price,strike,moneyness,choice_time_years,actual_heston_synthetic_price,predicted_price_usd,absolute_error_usd,base_value_ratio,base_value_usd,reconstructed_price_usd,contract_terms_signed_contribution_usd,contract_terms_absolute_contribution_usd,historical_volatility_signed_contribution_usd,historical_volatility_absolute_contribution_usd,vix_core_signed_contribution_usd,vix_core_absolute_contribution_usd,vix_interaction_signed_contribution_usd,vix_interaction_absolute_contribution_usd,news_sentiment_signed_contribution_usd,news_sentiment_absolute_contribution_usd,other_market_signed_contribution_usd,other_market_absolute_contribution_usd
23,2024-04-29,193.28,212.60800000000003,1.1,0.5,24.202565771664634,25.804717259316046,1.6021514876514118,0.1645836165375544,31.810721404378516,25.804717259316003,-0.9052076010872365,3.311255031143803,-4.4980705789777575,4.4980705789777575,-0.4635471250851563,0.4635471250851563,0.05472304170897303,0.05472304170897303,-0.2051973228288453,0.21233641099149933,0.011295441207512566,0.6661428349851947
24,2024-06-11,194.36,174.924,0.9,0.25,34.964532833486984,33.30926811933474,1.6552647141522456,0.1645836165375544,31.988471710239075,33.309268119334746,3.6342689954983234,6.058509524530035,-1.9884186769630579,1.9884186769630579,-0.5255189562183362,0.5255189562183362,0.003135240947880635,0.003135240947880635,-0.14563142156134523,0.21366924748476113,0.3429612273922036,0.7207896255999668
25,2024-06-11,194.36,174.924,0.9,0.5,36.71427204536205,35.38530589615628,1.328966149205769,0.1645836165375544,31.988471710239075,35.38530589615626,5.934467966271309,5.934467966271309,-2.004286118004969,2.004286118004969,-0.5449834104435735,0.5449834104435735,-0.032226391870895515,0.032226391870895515,-0.133115963925519,0.2386510213197331,0.1769781038908355,0.6399818659219891
26,2024-06-11,194.36,194.36,1.0,0.25,25.29208461485517,24.862267263110848,0.42981735174432245,0.1645836165375544,31.988471710239075,24.86226726311087,-4.25975245202905,4.25975245202905,-2.2489425559401717,2.2489425559401717,-0.5066368859547685,0.5066368859547685,0.030017779220320867,0.030017779220320867,-0.1377774665272608,0.1930562717626612,-0.003112865897276845,0.32026546582149573
27,2024-06-11,194.36,194.36,1.0,0.5,28.29256368135523,27.543717235258047,0.7488464460971826,0.1645836165375544,31.988471710239075,27.54371723525803,-1.378635845978427,4.075422097180354,-2.306281903436989,2.306281903436989,-0.5243350917513606,0.5243350917513606,0.025835491382975508,0.025835491382975508,-0.13340233287991365,0.21683961992463924,-0.12793479231732977,0.30510654674795096
28,2024-06-11,194.36,213.796,1.1,0.25,23.823016464488997,25.781497988797067,1.9584815243080698,0.1645836165375544,31.988471710239075,25.78149798879705,-3.1047261488570776,3.1047261488570776,-2.072143994445217,2.072143994445217,-0.5447187454465822,0.5447187454465822,0.030916492726722464,0.030916492726722464,-0.13952967284709056,0.18744980673564873,-0.3767716525727785,0.5291332213702314
29,2024-06-11,194.36,213.796,1.1,0.5,27.206341030432693,28.072184991329237,0.8658439608965445,0.1645836165375544,31.988471710239075,28.07218499132919,-0.6970052161573645,3.1534899786345347,-2.154657785001513,2.154657785001513,-0.549948893632574,0.549948893632574,0.025818966135821776,0.025818966135821776,-0.13025205499104786,0.2168529555443287,-0.41024173526320684,0.5804252562712838
30,2024-07-25,208.67,187.803,0.9,0.25,36.14636981595952,34.916112169649146,1.2302576463103705,0.1645836165375544,34.343663262891475,34.91611216964913,4.26862886897627,6.704648563764318,-3.6737202322703038,3.6737202322703038,-0.4504965987864117,0.4504965987864117,-0.08980852768773813,0.08980852768773813,-0.20084525148145904,0.21689617748300533,0.7186906480073,0.8293757183335458
31,2024-07-25,208.67,187.803,0.9,0.5,38.7590827429308,36.79607932209284,1.963003420837964,0.1645836165375544,34.343663262891475,36.79607932209286,6.5306062177517115,6.5306062177517115,-3.8550112768852016,3.8550112768852016,-0.45687203839854534,0.45687203839854534,-0.14500973606525083,0.14500973606525083,-0.18654100860546458,0.22665812875784835,0.5652439014041332,0.7040757796205406
32,2024-07-25,208.67,208.67,1.0,0.25,26.006517801784472,24.897159108326864,1.109358693457608,0.1645836165375544,34.343663262891475,24.89715910832688,-4.641234886634202,4.641234886634202,-4.337810649584061,4.337810649584061,-0.4676108076845463,0.4676108076845463,-0.06124183594069726,0.06124183594069726,-0.18595609215449488,0.20460219290036707,0.24735011743340507,0.3573524020665446
33,2024-07-25,208.67,208.67,1.0,0.5,27.67715500441868,27.635640010545707,0.04151499387297264,0.1645836165375544,34.343663262891475,27.6356400105457,-1.6105516366849264,4.441992356201059,-4.46740806533138,4.46740806533138,-0.4741427490449248,0.4741427490449248,-0.08399087477641606,0.08399087477641606,-0.18231170822593146,0.2283273712306737,0.11038178171780266,0.24492060713978453
34,2024-07-25,208.67,229.537,1.1,0.25,25.94027651581767,25.775303019623784,0.16497349619388402,0.1645836165375544,34.343663262891475,25.775303019623742,-3.4434181998822124,3.4434181998822124,-4.16416766052901,4.16416766052901,-0.5161628822153839,0.5161628822153839,-0.06318383284825771,0.06318383284825771,-0.1893549399498946,0.20635736272111027,-0.1920727278429781,0.5087576503684759
35,2024-07-25,208.67,229.537,1.1,0.5,28.81161203529249,28.130560676706573,0.6810513585859184,0.1645836165375544,34.343663262891475,28.130560676706544,-0.897604568706968,3.4830360066403294,-4.311537315895916,4.311537315895916,-0.5136176770304576,0.5136176770304576,-0.08374302310917536,0.08374302310917536,-0.18531328767215727,0.23065851798758624,-0.2212867137702561,0.5351881496635869
36,2024-09-06,212.46001,191.214009,0.9,0.25,37.02632085041381,35.8153196918121,1.2110011586017109,0.1645836165375544,34.96743681540497,35.815319691812114,3.9645341487953294,6.50704174573909,-3.174443465113699,3.174443465113699,-0.30740622979288584,0.38077927100337633,0.10821026099826918,0.10821026099826918,-0.1575809043361464,0.21311697460086676,0.4145690658562746,0.9172690187600401
37,2024-09-06,212.46001,191.214009,0.9,0.5,37.16954984467938,37.98859391922267,0.8190440745432923,0.1645836165375544,34.96743681540497,37.98859391922267,6.467858236712503,6.467858236712503,-3.37408774996673,3.37408774996673,-0.3304915085807216,0.4001096356280093,0.1762198769781047,0.1762198769781047,-0.16935818183322993,0.20808516644647013,0.2510164305077727,0.786041889824046
38,2024-09-06,212.46001,212.46001,1.0,0.25,24.88048339662928,26.61744060471575,1.7369572080864693,0.1645836165375544,34.96743681540497,26.617440604715753,-4.573099387164668,4.573099387164668,-3.3873870257686023,3.3873870257686023,-0.2750563040110134,0.42880265687421676,0.0654537769279172,0.0654537769279172,-0.14642849050124418,0.20045809063085418,-0.033478780171613265,0.40640289864228357
39,2024-09-06,212.46001,212.46001,1.0,0.5,28.93558516146549,29.069769791220587,0.13418462975509726,0.1645836165375544,34.96743681540497,29.06976979122056,-1.6651241615678531,4.4053693992322,-3.6503953834800176,3.6503953834800176,-0.3218987598297993,0.43538648102284483,0.07727565037979384,0.07727565037979384,-0.16200143121693217,0.19941740118281545,-0.17552293846960496,0.3971551883861973
