family,candidate_number,mae,rmse,r2,parameters
mlp,12,18.49153567682216,23.191270232558033,-28.216416242167128,"{""solver"": ""lbfgs"", ""max_iter"": 3000, ""learning_rate_init"": 0.001, ""hidden_layer_sizes"": [32], ""early_stopping"": false, ""alpha"": 0.001, ""activation"": ""relu""}"
mlp,2,18.28185783981952,23.483641723116598,-26.624798026953254,"{""solver"": ""lbfgs"", ""max_iter"": 3000, ""learning_rate_init"": 0.0003, ""hidden_layer_sizes"": [64], ""early_stopping"": false, ""alpha"": 0.001, ""activation"": ""tanh""}"
mlp,13,24.92859263009581,30.09705543721669,-49.72911166973509,"{""solver"": ""adam"", ""max_iter"": 3000, ""learning_rate_init"": 0.001, ""hidden_layer_sizes"": [64, 32], ""early_stopping"": false, ""alpha"": 0.0001, ""activation"": ""tanh""}"
mlp,7,25.602808116253485,31.45514216341713,-55.16928755841546,"{""solver"": ""adam"", ""max_iter"": 3000, ""learning_rate_init"": 0.0003, ""hidden_layer_sizes"": [64, 32], ""early_stopping"": false, ""alpha"": 0.001, ""activation"": ""tanh""}"
mlp,16,31.532863509543745,37.43588476721241,-74.86372134184454,"{""solver"": ""adam"", ""max_iter"": 3000, ""learning_rate_init"": 0.001, ""hidden_layer_sizes"": [64, 32, 16], ""early_stopping"": false, ""alpha"": 0.0001, ""activation"": ""tanh""}"
mlp,8,28.885744415629926,38.21546950216048,-74.97879928292527,"{""solver"": ""adam"", ""max_iter"": 3000, ""learning_rate_init"": 0.0003, ""hidden_layer_sizes"": [64], ""early_stopping"": false, ""alpha"": 0.01, ""activation"": ""tanh""}"
mlp,3,30.427712924329885,42.09417467121719,-111.65880409809522,"{""solver"": ""lbfgs"", ""max_iter"": 3000, ""learning_rate_init"": 0.0003, ""hidden_layer_sizes"": [64], ""early_stopping"": false, ""alpha"": 0.0001, ""activation"": ""relu""}"
mlp,10,35.51923568828358,43.70729210959334,-86.83067930977731,"{""solver"": ""adam"", ""max_iter"": 3000, ""learning_rate_init"": 0.001, ""hidden_layer_sizes"": [16], ""early_stopping"": false, ""alpha"": 0.01, ""activation"": ""tanh""}"
mlp,14,40.28475594577928,51.442553054784966,-179.25994606030565,"{""solver"": ""adam"", ""max_iter"": 3000, ""learning_rate_init"": 0.0003, ""hidden_layer_sizes"": [32], ""early_stopping"": false, ""alpha"": 0.0001, ""activation"": ""tanh""}"
mlp,6,53.268655968162534,74.71572132168495,-236.11069353288687,"{""solver"": ""adam"", ""max_iter"": 3000, ""learning_rate_init"": 0.003, ""hidden_layer_sizes"": [16], ""early_stopping"": false, ""alpha"": 0.0001, ""activation"": ""relu""}"
mlp,9,70.61619021276427,106.33944418312755,-480.1274643087129,"{""solver"": ""adam"", ""max_iter"": 3000, ""learning_rate_init"": 0.0003, ""hidden_layer_sizes"": [16], ""early_stopping"": false, ""alpha"": 0.0001, ""activation"": ""relu""}"
